Host ID,J(1): MIPS,J(1): RAM (MB),J(1): Bandwith (MB),J(1): Storage (Mbps)
0,1023,512,5000,5000
1,2048,1800,8000,8000
2,250,124,1000,1000
3,2048,1600,7000,7000
4,2600,1240,6000,6000
5,2500,1530,5500,5800
6,3300,2500,6000,6000
7,1200,980,6000,6000
8,2272,1792,8482,7392
9,3288,2048,9500,9215
10,780,850,1300,1200
11,2000,1300,6000,7500
12,2900,1850,3500,8000
13,1738,1524,5781,9200
14,1900,1358,7200,4402
15,600,2000,2400,3000
16,2500,1000,2679,2815
17,1312,1024,8000,2250
18,900,952,3142,8473
19,1000,2048,4336,4704
